model,lgbm_config_id,feature_set,params,used_features,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,error,abs_error,ape_%
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q2,2025-06-30,2017Q1,2024Q4,107.642837,132.8932353215689,25.25039832156891,25.25039832156891,23.457574164056
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q3,2025-09-30,2017Q1,2024Q4,123.269423,156.08007000684222,32.81064700684222,32.81064700684222,26.617020026809257
lightgbm_individual_selection,no_exog_p2,no_exog,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2025,2025Q4,2025-12-31,2017Q1,2024Q4,146.997427,179.85328132107597,32.85585432107598,32.85585432107598,22.35131253084857
lightgbm_individual_selection,core_lag4_p1,core_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023,2023Q1,2023-03-31,2017Q1,2022Q4,137.43492,136.44630521475267,-0.9886147852473357,0.9886147852473357,0.7193330379552269
lightgbm_individual_selection,core_lag4_p1,core_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023,2023Q2,2023-06-30,2017Q1,2022Q4,131.333401,131.0511573668449,-0.2822436331551046,0.2822436331551046,0.21490620893545928
lightgbm_individual_selection,core_lag4_p1,core_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023,2023Q3,2023-09-30,2017Q1,2022Q4,138.661501,141.85758142335135,3.1960804233513613,3.1960804233513613,2.3049515549030164
lightgbm_individual_selection,core_lag4_p1,core_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2023,2023Q4,2023-12-31,2017Q1,2022Q4,146.594099,132.18506825380658,-14.409030746193423,14.409030746193423,9.82920243344408
lightgbm_individual_selection,core_lag4_p1,core_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2024,2024Q1,2024-03-31,2017Q1,2023Q4,147.7011,146.3610131759475,-1.3400868240524915,1.3400868240524915,0.9072964412942703
lightgbm_individual_selection,core_lag4_p1,core_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2024,2024Q2,2024-06-30,2017Q1,2023Q4,141.196121,134.27237831599643,-6.923742684003571,6.923742684003571,4.90363519547649
lightgbm_individual_selection,core_lag4_p1,core_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2024,2024Q3,2024-09-30,2017Q1,2023Q4,144.450183,144.5970759011869,0.14689290118690224,0.14689290118690224,0.10169104540829985
