model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,used_exog,error,abs_error,ape_%
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,107.13571064385663,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,5.579710643856629,5.579710643856629,5.494220571760042
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,132.2589591960458,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,13.472221196045794,13.472221196045794,11.341519619846615
seasonal_naive_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,109.14265208160668,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,2.5708630816066886,2.5708630816066886,2.4123298536413693
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,127.79757988219197,"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,33.935762882191966,33.935762882191966,36.155024446407175
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,130.71501529456356,"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,29.15901529456356,29.15901529456356,28.712252643431764
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,123.02244158387151,"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,4.235703583871512,4.235703583871512,3.565805118641706
sarimax_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,98.24623138739346,"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-8.32555761260653,8.32555761260653,7.812159006363806
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,93.861817,104.66780743651101,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,10.80599043651101,10.80599043651101,11.512658482320887
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,101.556,130.36086900294578,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,28.80486900294578,28.80486900294578,28.363532438207272
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,118.786738,141.8827302675432,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,23.095992267543195,23.095992267543195,19.443241439581577
prophet_exog,S_бензины_автомобильные,Бензины автомобильные,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,106.571789,119.26370988017898,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,12.691920880178984,12.691920880178984,11.909268859302891
seasonal_naive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,117.94136911737974,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-16.10179188262026,16.10179188262026,12.012393442900278
seasonal_naive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,140.74844617779868,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,22.04550317779868,22.04550317779868,18.57199376918454
seasonal_naive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,163.61373869020449,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-22.50781430979552,22.50781430979552,12.093072482473602
seasonal_naive_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,203.360042,253.24614787569766,seasonal naive + Ridge residual correction,consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,49.886105875697666,49.886105875697666,24.53092819271628
sarimax_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,145.15627334390808,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,11.113112343908085,11.113112343908085,8.290697012067692
sarimax_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,159.3742120994284,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,40.6712690994284,40.6712690994284,34.26306717553616
sarimax_exog,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,169.46140178706807,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 1, 4)}",consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; physical_volume_index_lag4,-16.660151212931936,16.660151212931936,8.951220825527892
