region,sales_product_name,period_end,sales_cumulative_thousand_rub,year_header,quarter_header,period_label,is_full_year_column,year,quarter,region_scope,product_group_code,product_group_name,sales_quarter_thousand_rub,sales_product_code,source_file
Российская Федерация,Всего по розничной торговле,2021-06-30,462989576.9,2021,2,январь-июнь,False,2021,2,RF_total,G99,Прочее,246918944.89999998,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2021-09-30,731225050.2,2021,3,январь-сентябрь,False,2021,3,RF_total,G99,Прочее,268235473.30000007,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Всего по розничной торговле,2021-12-31,1013862973.1,2021,4,январь-декабрь,False,2021,4,RF_total,G99,Прочее,282637922.9,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Всего по розничной торговле,2024-03-31,212226334.2,2024,1,январь-март,False,2024,1,RF_without_new_regions,G99,Прочее,212226334.2,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Всего по розничной торговле,2024-06-30,657382619.9,2024,2,январь-июнь,False,2024,2,RF_without_new_regions,G99,Прочее,445156285.7,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Всего по розничной торговле,2024-09-30,678379682.9,2024,3,январь-сентябрь,False,2024,3,RF_without_new_regions,G99,Прочее,20997063.0,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Всего по розничной торговле,2024-12-31,9608671.0,2024,4,январь-декабрь,False,2024,4,RF_without_new_regions,G99,Прочее,-668771011.9,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Всего по розничной торговле,2025-06-30,723882054.1,2025,2,январь-июнь,False,2025,2,RF_without_new_regions,G99,Прочее,,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация без учета новых субъектов (с 01.01.2023),Всего по розничной торговле,2025-09-30,740537839.6,2025,3,январь-сентябрь,False,2025,3,RF_without_new_regions,G99,Прочее,16655785.5,S_всего_по_розничной_торговле,[2017-2025]_sales_dynamics.xls
Российская Федерация,Газовое моторное топливо,2017-03-31,12882549.8,2017,1,январь-март,False,2017,1,RF_total,G10,Топливо и транспортные товары,12882549.8,S_газовое_моторное_топливо,[2017-2025]_sales_dynamics.xls
Российская Федерация,Газовое моторное топливо,2017-06-30,28578139.4,2017,2,январь-июнь,False,2017,2,RF_total,G10,Топливо и транспортные товары,15695589.599999998,S_газовое_моторное_топливо,[2017-2025]_sales_dynamics.xls
Российская Федерация,Газовое моторное топливо,2017-09-30,45297055.5,2017,3,январь-сентябрь,False,2017,3,RF_total,G10,Топливо и транспортные товары,16718916.100000001,S_газовое_моторное_топливо,[2017-2025]_sales_dynamics.xls
