region,sales_product_name,period_end,physical_volume_cumulative_yoy_index,year_header,quarter_header,period_label,is_full_year_column,year,quarter,region_scope,product_group_code,product_group_name,source_file
Российская Федерация,Дизельное топливо,2017-09-30,103.98,2017,3,январь-сентябрь,False,2017,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2017-12-31,104.9,2017,4,январь-декабрь,False,2017,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2018-03-31,108.57,2018,1,январь-март,False,2018,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2018-06-30,107.58,2018,2,январь-июнь,False,2018,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2018-09-30,108.94,2018,3,январь-сентябрь,False,2018,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2018-12-31,107.33,2018,4,январь-декабрь,False,2018,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2019-03-31,106.83,2019,1,январь-март,False,2019,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2019-06-30,107.45,2019,2,январь-июнь,False,2019,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2019-09-30,106.56,2019,3,январь-сентябрь,False,2019,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2019-12-31,102.01,2019,4,январь-декабрь,False,2019,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2020-03-31,102.1,2020,1,январь-март,False,2020,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2020-06-30,92.62,2020,2,январь-июнь,False,2020,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2020-09-30,94.31,2020,3,январь-сентябрь,False,2020,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2020-12-31,94.02,2020,4,январь-декабрь,False,2020,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2021-03-31,96.09,2021,1,январь-март,False,2021,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2021-06-30,103.42,2021,2,январь-июнь,False,2021,2,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2021-09-30,106.16,2021,3,январь-сентябрь,False,2021,3,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2021-12-31,106.67,2021,4,январь-декабрь,False,2021,4,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
Российская Федерация,Дизельное топливо,2022-03-31,118.79,2022,1,январь-март,False,2022,1,RF_total,G10,Топливо и транспортные товары,[2017-2025]_rozn_dynamics.xls
