buy_ability_product_name,year,buy_ability_value,buy_ability_section,product_group_code,product_group_name
Творог,2025,157.5,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2017,66.9,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2018,68.2,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2019,66.5,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2020,62.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2021,65.2,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2022,64.6,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2023,69.9,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2024,78.5,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сыры сычужные твердые и мягкие,2025,78.1,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2017,165.4,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2018,167.5,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2019,168.1,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2020,162.2,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2021,170.7,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2022,171.2,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2023,191.6,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2024,210.8,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сметана,2025,209.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2017,457.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2018,460.4,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2019,467.6,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2020,458.7,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2021,483.1,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2022,485.3,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2023,537.1,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2024,603.5,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Кисломолочные продукты,2025,609.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2017,5818.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2018,5905.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2019,5795.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2020,5721.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2021,5157.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2022,5975.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2023,5965.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2024,5530.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
"Яйца куриные, штук",2025,7747.0,"Продукты питания, кг в месяц",G02,Молочная продукция и яйца
Сахар-песок,2017,730.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Сахар-песок,2018,822.1,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Сахар-песок,2019,860.4,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Сахар-песок,2020,917.6,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Сахар-песок,2021,777.2,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Сахар-песок,2022,653.7,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Сахар-песок,2023,763.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Сахар-песок,2024,870.9,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Сахар-песок,2025,1029.8,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
Чай черный байховый,2017,41.5,"Продукты питания, кг в месяц",G05,"Бакалея, масло, сахар, чай, соль"
