product_code,product_name,group_code,group_name,forecast_year,period,period_end,actual_target_demand_index,forecast_target_demand_index,raw_forecast_target_demand_index,selected_model,order,seasonal_order,calibration_type,calibration_multiplier,calibration_additive
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q3,2025-09-30,101.458127,101.62603188881131,101.62603188881131,sarimax,"(1, 1, 0)","(1, 0, 1, 4)",none,1.004039473511282,0.4160731139547238
S_мясо_животных,Мясо животных,G03,"Мясо, птица, рыба и колбасные изделия",2025,2025Q4,2025-12-31,114.806348,109.97718569615446,109.97718569615446,sarimax,"(1, 1, 0)","(1, 0, 1, 4)",none,1.004039473511282,0.4160731139547238
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,134.500103,143.0714796393212,143.77953418039536,sarimax,"(1, 1, 0)","(0, 0, 0, 4)",multiplicative,0.9950754149739715,-0.7137709613592946
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,121.298853,143.0170959379026,143.72488133639956,sarimax,"(1, 1, 0)","(0, 0, 0, 4)",multiplicative,0.9950754149739715,-0.7137709613592946
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,146.218314,143.0305622091303,143.7384142516189,sarimax,"(1, 1, 0)","(0, 0, 0, 4)",multiplicative,0.9950754149739715,-0.7137709613592946
S_свежие_овощи,Свежие овощи,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,155.955701,143.0272277457516,143.73506328612572,sarimax,"(1, 1, 0)","(0, 0, 0, 4)",multiplicative,0.9950754149739715,-0.7137709613592946
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q1,2025-03-31,117.72481,123.87135637793942,125.32713160005483,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",multiplicative,0.9883841973918218,-1.5810830854366564
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q2,2025-06-30,107.457736,126.59277850659463,128.08053673930795,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",multiplicative,0.9883841973918218,-1.5810830854366564
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q3,2025-09-30,129.634947,127.13670636104231,128.6308570053371,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",multiplicative,0.9883841973918218,-1.5810830854366564
S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2025,2025Q4,2025-12-31,151.739909,141.2667707697948,142.92698238455637,sarimax,"(2, 1, 1)","(1, 0, 0, 4)",multiplicative,0.9883841973918218,-1.5810830854366564
