model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,error,abs_error,ape_%
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,116.837874,114.83670657714171,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-2.0011674228582876,2.0011674228582876,1.7127728829251787
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,147.189086,131.95132728356685,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-15.237758716433149,15.237758716433149,10.352505834864106
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,142.200496,133.89946377812134,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-8.301032221878643,8.301032221878643,5.837555040510297
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,137.370662,117.294002,same quarter previous year,-20.076660000000004,20.076660000000004,14.614954683700951
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,113.162683,116.837874,same quarter previous year,3.675190999999998,3.675190999999998,3.2477057830097555
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,154.855532,147.189086,same quarter previous year,-7.666446000000008,7.666446000000008,4.9507085093995915
seasonal_naive,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,141.706795,142.200496,same quarter previous year,0.4937009999999873,0.4937009999999873,0.3483961372494433
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,137.370662,119.40061271800565,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-17.970049281994363,17.970049281994363,13.08143166842594
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,113.162683,119.37511119213288,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",6.212428192132876,6.212428192132876,5.489820519837689
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,154.855532,135.49059201576733,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-19.364939984232677,19.364939984232677,12.50516512657273
prophet,S_дизельное_топливо,Дизельное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,141.706795,140.7731001100796,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0}",-0.933694889920389,0.933694889920389,0.6588921088225791
seasonal_naive,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q1,2023-03-31,2017Q1,2022Q4,116.332724,113.789115,same quarter previous year,-2.5436090000000036,2.5436090000000036,2.1864948335603347
seasonal_naive,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q2,2023-06-30,2017Q1,2022Q4,115.624451,94.587515,same quarter previous year,-21.036935999999997,21.036935999999997,18.194193198807056
seasonal_naive,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q3,2023-09-30,2017Q1,2022Q4,112.542415,105.748951,same quarter previous year,-6.793464,6.793464,6.03635882524824
seasonal_naive,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q4,2023-12-31,2017Q1,2022Q4,143.93374,122.781368,same quarter previous year,-21.152372,21.152372,14.6959093816363
prophet,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q1,2023-03-31,2017Q1,2022Q4,116.332724,105.9488757317749,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-10.383848268225094,10.383848268225094,8.925990822861756
prophet,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q2,2023-06-30,2017Q1,2022Q4,115.624451,86.87378039011027,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-28.750670609889724,28.750670609889724,24.865562916177414
prophet,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q3,2023-09-30,2017Q1,2022Q4,112.542415,111.6857219300762,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-0.8566930699238071,0.8566930699238071,0.7612179549584102
prophet,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2023,2023Q4,2023-12-31,2017Q1,2022Q4,143.93374,119.5507525027528,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-24.3829874972472,24.3829874972472,16.940425154829715
seasonal_naive,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q1,2024-03-31,2017Q1,2023Q4,119.399194,116.332724,same quarter previous year,-3.0664699999999954,3.0664699999999954,2.5682501675848797
