product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,exog_columns,train_exog_missing_before_fill,future_exog_missing_before_fill
Макаронные изделия,2025Q3,2025-09-30,2017Q1,2024Q4,131.022371,131.87597509242417,118.65513821062169,145.09681197422665,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Макаронные изделия,2025Q4,2025-12-31,2017Q1,2024Q4,116.14576,108.75056766255743,95.36234923630526,122.1387860888096,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Маргариновая продукция,2025Q1,2025-03-31,2017Q1,2024Q4,76.485111,80.10671227493731,70.73557867293434,89.47784587694028,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Маргариновая продукция,2025Q2,2025-06-30,2017Q1,2024Q4,75.479866,83.45352587452248,74.18874999091611,92.71830175812886,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Маргариновая продукция,2025Q3,2025-09-30,2017Q1,2024Q4,73.741026,86.12877620776453,76.8643269465262,95.39322546900286,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Маргариновая продукция,2025Q4,2025-12-31,2017Q1,2024Q4,100.810088,99.70080434802244,90.43633250946418,108.96527618658071,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Молоко питьевое,2025Q1,2025-03-31,2017Q1,2024Q4,128.948864,120.44503392738581,106.91309292207593,133.9769749326957,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Молоко питьевое,2025Q2,2025-06-30,2017Q1,2024Q4,128.003438,123.06000341877149,109.10196543855317,137.01804139898982,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Молоко питьевое,2025Q3,2025-09-30,2017Q1,2024Q4,142.849168,128.91936866534067,113.15531631855026,144.68342101213108,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Молоко питьевое,2025Q4,2025-12-31,2017Q1,2024Q4,134.704368,126.44956319539274,109.64585117623844,143.25327521454705,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Молочные напитки,2025Q1,2025-03-31,2017Q1,2024Q4,,31.346887683788502,-3.749195619917238,66.44297098749425,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,28
Молочные напитки,2025Q2,2025-06-30,2017Q1,2024Q4,,59.51523773744386,21.742875968453845,97.28759950643388,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,28
Молочные напитки,2025Q3,2025-09-30,2017Q1,2024Q4,,58.9511496959284,19.565204017149277,98.33709537470753,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,28
Молочные напитки,2025Q4,2025-12-31,2017Q1,2024Q4,,49.92484905724745,10.514808812888838,89.33488930160607,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,28
Мука,2025Q1,2025-03-31,2017Q1,2024Q4,98.544241,106.18111024988096,96.68228878746037,115.67993171230155,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мука,2025Q2,2025-06-30,2017Q1,2024Q4,91.355099,101.41337897769968,91.87081657392088,110.95594138147848,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мука,2025Q3,2025-09-30,2017Q1,2024Q4,102.051877,102.21536593708633,92.08375203720341,112.34697983696925,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
Мука,2025Q4,2025-12-31,2017Q1,2024Q4,126.18717,115.78865375596232,105.54146180873423,126.0358457031904,True,SARIMAX_EXOG,"(1, 1, 1)","(1, 0, 1, 4)",consumer_price_index; income_index; stock_days_mean; stock_value_mean_thousand_rub; group_consumer_price_index_mean; group_stock_days_mean; group_stock_value_mean_thousand_rub,0,0
