product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,model_key,model_name_readable,product_code,group_code,group_name,best_group_WAPE_%,selected_features,future_exog_mode,exog_columns,train_exog_missing_before_fill,future_exog_missing_before_fill,agg_exog_columns
Стиральные машины,2025Q2,2025-06-30,2017Q1,2024Q4,107.642837,130.1029934591433,112.67879105866972,147.52719585961688,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_стиральные_машины,G07,"Товары для дома, гигиены и бытовая химия",11.49,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Стиральные машины,2025Q3,2025-09-30,2017Q1,2024Q4,123.269423,138.85854477875836,114.86090106353144,162.85618849398526,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_стиральные_машины,G07,"Товары для дома, гигиены и бытовая химия",11.49,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Стиральные машины,2025Q4,2025-12-31,2017Q1,2024Q4,146.997427,129.96622088863995,105.34033175257812,154.59211002470178,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_стиральные_машины,G07,"Товары для дома, гигиены и бытовая химия",11.49,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Автомобили легковые,2025Q1,2025-03-31,2017Q1,2024Q4,133.521054,157.86113524892224,124.86773845737412,190.8545320404704,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_автомобили_легковые,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Автомобили легковые,2025Q2,2025-06-30,2017Q1,2024Q4,144.210737,166.10229373414734,127.45316379460128,204.7514236736934,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_автомобили_легковые,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Автомобили легковые,2025Q3,2025-09-30,2017Q1,2024Q4,182.71084,189.0933786698552,148.42578183583402,229.7609755038764,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_автомобили_легковые,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Автомобили легковые,2025Q4,2025-12-31,2017Q1,2024Q4,181.15647,159.90423002808453,118.40734625377992,201.40111380238912,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_автомобили_легковые,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Бензины автомобильные,2024Q2,2024-06-30,2017Q1,2024Q1,,128.9146287753976,115.3640471021643,142.4652104486309,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_бензины_автомобильные,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Бензины автомобильные,2024Q3,2024-09-30,2017Q1,2024Q1,,131.21258379447772,106.24033601318229,156.18483157577316,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_бензины_автомобильные,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Бензины автомобильные,2024Q4,2024-12-31,2017Q1,2024Q1,,131.80454033558263,98.38045116303137,165.2286295081339,False,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_бензины_автомобильные,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Бензины автомобильные,2025Q1,2025-03-31,2017Q1,2024Q1,,130.92232205740993,92.295989229064,169.54865488575587,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_бензины_автомобильные,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
Бензины автомобильные,2025Q2,2025-06-30,2017Q1,2024Q1,,130.07322592091458,89.13653759881171,171.00991424301745,True,SARIMAX_AGG_TRAIN_ONLY,"(1, 1, 1)","(1, 0, 1, 4)",agg_train_only,SARIMAX с агрегированными признаками только в обучении,S_бензины_автомобильные,G10,Топливо и транспортные товары,11.51,,neutral_zero_after_standardization,,,,group_consumer_price_index_mean; group_income_index_mean; group_stock_days_mean_mean; group_stock_value_mean_thousand_rub_mean; market_consumer_price_index_mean; market_income_index_mean; market_stock_days_mean_mean; market_stock_value_mean_thousand_rub_mean
