product_name,period,period_end,first_train_period,last_train_period,actual_target_demand_index,forecast_target_demand_index,forecast_lower,forecast_upper,is_2025_forecast,model,order,seasonal_order,selected_features,future_exog_mode
Молоко питьевое,2025Q4,2025-12-31,2017Q1,2024Q4,134.704368,124.6625488770671,108.00355431950528,141.3215434346289,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Молочные напитки,2025Q1,2025-03-31,2017Q1,2024Q4,,63.77530233947694,18.215126381797802,109.33547829715607,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Молочные напитки,2025Q2,2025-06-30,2017Q1,2024Q4,,62.37902917201272,16.818853213597578,107.93920513042787,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Молочные напитки,2025Q3,2025-09-30,2017Q1,2024Q4,,68.42872645127272,22.868550492121564,113.98890241042389,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Молочные напитки,2025Q4,2025-12-31,2017Q1,2024Q4,,80.18996408817787,34.6297881282907,125.75014004806505,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Мука,2025Q1,2025-03-31,2017Q1,2024Q4,98.544241,97.93700957330587,85.17601987320685,110.69799927340489,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Мука,2025Q2,2025-06-30,2017Q1,2024Q4,91.355099,93.55070485281313,80.77505618725796,106.3263535183683,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Мука,2025Q3,2025-09-30,2017Q1,2024Q4,102.051877,100.47293197427656,87.68264114390959,113.26322280464353,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Мука,2025Q4,2025-12-31,2017Q1,2024Q4,126.18717,114.81930984012163,102.01439358795358,127.62422609228969,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
Мясо домашней птицы,2025Q1,2025-03-31,2017Q1,2024Q4,106.372638,113.47412035868933,99.50601848524342,127.44222223213525,True,SARIMAX_FINAL_SELECTED,"(0, 1, 1)","(1, 0, 0, 4)",stock_value_vs_group,neutral_zero_after_standardization
