feature_mode,product_name,group_code,group_name,train_start,train_end,observations,feature,coef,mean_abs_contribution,mean_signed_contribution,max_abs_contribution,share_of_exog_contribution_%,aic,bic
full_exog,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,group_income_index_mean,0.9886679364853659,0.7899583041837255,-3.885780586188048e-16,3.0699834537792987,10.114266344589558,191.23970893697307,207.08509466025967
full_exog,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,group_stock_days_mean_mean,-1.2829193092866948,1.047274205608531,-2.6367796834847468e-15,3.225321104597449,13.408821953316142,191.23970893697307,207.08509466025967
full_exog,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,2.173468177912208,1.9071120611184287,-4.163336342344337e-16,4.423493942549785,24.41779424682746,191.23970893697307,207.08509466025967
full_exog,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,consumer_price_index,-5.486565864479774,4.910809154208121,-6.439293542825908e-15,8.237581023082202,19.741436590445467,191.07268091206322,206.91806663534982
full_exog,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,income_index,3.0005801313219465,2.3975018351791677,-1.2212453270876722e-15,9.317315768977243,9.637949463808528,191.07268091206322,206.91806663534982
full_exog,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,stock_days_mean,-1.1865026550292184,0.9685672485427176,-2.4424906541753444e-15,2.982924979166757,3.893637142120132,191.07268091206322,206.91806663534982
full_exog,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,stock_value_mean_thousand_rub,4.742079494366831,4.160942907007062,-1.2212453270876722e-15,9.651192564765731,16.72697675183622,191.07268091206322,206.91806663534982
full_exog,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,group_consumer_price_index_mean,-5.486565898119936,4.910809184318108,-6.439293542825908e-15,8.237581073589855,19.741436711487516,191.07268091206322,206.91806663534982
full_exog,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,group_income_index_mean,3.0005801146864806,2.397501821887218,-1.1102230246251565e-15,9.31731571732127,9.637949410374935,191.07268091206322,206.91806663534982
full_exog,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,group_stock_days_mean_mean,-1.186502654025875,0.9685672477236671,-2.400857290751901e-15,2.9829249766443033,3.893637138827552,191.07268091206322,206.91806663534982
full_exog,Макаронные изделия,G01,"Хлеб, крупы, мука и макаронные изделия",2017Q1,2024Q4,32,group_stock_value_mean_thousand_rub_mean,4.742079505497969,4.160942916774092,-9.992007221626409e-16,9.651192587420088,16.72697679109965,191.07268091206322,206.91806663534982
full_exog,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,consumer_price_index,-2.7686357595768705,2.5404692646082676,-9.43689570931383e-16,4.48464900318722,10.508195560456853,179.55010334859887,195.39548907188546
full_exog,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,income_index,5.3354991301784525,4.263131926613157,-2.3314683517128287e-15,16.56763959143945,17.63368075692344,179.55010334859887,195.39548907188546
full_exog,Маргариновая продукция,G05,"Бакалея, масло, сахар, чай, соль",2017Q1,2024Q4,32,stock_days_mean,0.1271424076169413,0.10378904033350429,2.5673907444456745e-16,0.3196421533356253,0.4293047540666782,179.55010334859887,195.39548907188546
