Код группы,Название группы,product_name_norm,Товар,source_sales,source_consumer_price,source_producer_price,sales_product_code,price_product_code,ppi_product_code,original_group_code,original_group_name,has_any_sales_or_price_for_model,source_description
G05,"Бакалея, масло, сахар, чай, соль",сахар-песок,"Сахар-песок, кг",0,1,0,,P_сахар_песок_кг,,G05,"Бакалея, масло, сахар, чай, соль",1,потребительская цена
G05,"Бакалея, масло, сахар, чай, соль",соль поваренная пищевая,"Соль поваренная пищевая, кг",0,1,0,,P_соль_поваренная_пищевая_кг,,G05,"Бакалея, масло, сахар, чай, соль",1,потребительская цена
G05,"Бакалея, масло, сахар, чай, соль",чай,Чай,1,0,0,S_чай,,,G05,"Бакалея, масло, сахар, чай, соль",1,продажи
G05,"Бакалея, масло, сахар, чай, соль",чай черный байховый,"Чай черный байховый, кг",0,1,0,,P_чай_черный_байховый_кг,,G05,"Бакалея, масло, сахар, чай, соль",1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",бумага туалетная,"Бумага туалетная, рулон",0,1,0,,P_бумага_туалетная_рулон,,G07,"Товары для дома, гигиены и бытовая химия",1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",мыло туалетное,"Мыло туалетное, 100 г",0,1,0,,P_мыло_туалетное_100_г,,G07,"Товары для дома, гигиены и бытовая химия",1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",мыло хозяйственное,"Мыло хозяйственное, 200 г",0,1,0,,P_мыло_хозяйственное_200_г,,G07,"Товары для дома, гигиены и бытовая химия",1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",паста зубная,"Паста зубная, 100 г (100 мл)",0,1,0,,P_паста_зубная_100_г_100_мл,,G99,Прочее,1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",пеленки для новорожденных,"Пеленки для новорожденных, шт.",0,1,0,,P_пеленки_для_новорожденных_шт,,G99,Прочее,1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",подгузники детские бумажные,"Подгузники детские бумажные, 10 шт.",0,1,0,,P_подгузники_детские_бумажные_10_шт,,G07,"Товары для дома, гигиены и бытовая химия",1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",порошок стиральный,"Порошок стиральный, кг",0,1,0,,P_порошок_стиральный_кг,,G07,"Товары для дома, гигиены и бытовая химия",1,потребительская цена
G07,"Товары для дома, гигиены и бытовая химия",прокладки женские гигиенические ежедневные,"Прокладки женские гигиенические ежедневные, 10 шт.",0,1,0,,P_прокладки_женские_гигиенические_ежедневные_10_шт,,G07,"Товары для дома, гигиены и бытовая химия",1,потребительская цена
