model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,selected_features,order,seasonal_order,error,abs_error,ape_%
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q2,2024-06-30,2017Q1,2023Q4,117.607516,118.85912099793025,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",1.2516049979302437,1.2516049979302437,1.064221948136583
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q3,2024-09-30,2017Q1,2023Q4,115.711914,114.40976078152903,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",-1.3021532184709628,1.3021532184709628,1.125340661525107
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2024,2024Q4,2024-12-31,2017Q1,2023Q4,138.794634,146.33932597552698,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",7.544691975526973,7.544691975526973,5.43586719319925
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q1,2025-03-31,2017Q1,2024Q4,107.860824,109.39719171477445,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",1.5363677147744568,1.5363677147744568,1.4243982734402778
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q2,2025-06-30,2017Q1,2024Q4,93.206196,109.1248312193832,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",15.91863521938319,15.91863521938319,17.07894528748195
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q3,2025-09-30,2017Q1,2024Q4,84.744027,107.1990839767412,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",22.455056976741204,22.455056976741204,26.49750993865468
sarimax_aggressive_exog,S_консервы_молочные_молочные_составные_сухие_сублимированные,"Консервы молочные, молочные составные сухие, сублимированные",G02,Молочная продукция и яйца,2025,2025Q4,2025-12-31,2017Q1,2024Q4,112.623027,131.0793143186384,consumer_price_index_lag8; stock_days_mean_lag4_vs_lag8_pct; income_index_lag4_vs_lag8_pct,"(1, 1, 0)","(1, 0, 0, 4)",18.456287318638417,18.456287318638417,16.387667611383254
sarimax_aggressive_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,58.39633,57.37891986204654,consumer_price_index_lag4_vs_lag8_pct; income_index_lag4_minus_market; stock_days_mean_lag4,"(1, 1, 2)","(1, 0, 1, 4)",-1.017410137953462,1.017410137953462,1.742250134474995
sarimax_aggressive_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,45.469394,43.577171588026324,consumer_price_index_lag4_vs_lag8_pct; income_index_lag4_minus_market; stock_days_mean_lag4,"(1, 1, 2)","(1, 0, 1, 4)",-1.8922224119736768,1.8922224119736768,4.161529867703266
sarimax_aggressive_exog,S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,53.398096,52.89012295718002,consumer_price_index_lag4_vs_lag8_pct; income_index_lag4_minus_market; stock_days_mean_lag4,"(1, 1, 2)","(1, 0, 1, 4)",-0.5079730428199838,0.5079730428199838,0.9512942986206545
