model,product_code,product_name,group_code,group_name,cv_year,period,period_end,train_start,train_end,actual_target_demand_index,forecast_target_demand_index,model_params,error,abs_error,ape_%
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,161.894399,same quarter previous year,-24.227154000000013,24.227154000000013,13.016844964752691
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,203.360042,206.546718,same quarter previous year,3.1866760000000056,3.1866760000000056,1.5670118714865362
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,141.6558250897724,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",7.612664089772409,7.612664089772409,5.6792633305420255
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,163.6288845049927,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",44.92594150499269,44.92594150499269,37.84736955089032
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,184.00742411950418,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",-2.1141288804958265,2.1141288804958265,1.135886116583084
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,203.360042,233.69631067726368,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",30.33626867726369,30.33626867726369,14.91751692166925
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q1,2020-03-31,2017Q1,2019Q4,134.043161,151.18769975314788,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",17.144538753147884,17.144538753147884,12.790312183959825
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q2,2020-06-30,2017Q1,2019Q4,118.702943,166.15618806042514,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",47.45324506042513,47.45324506042513,39.97646887358567
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q3,2020-09-30,2017Q1,2019Q4,186.121553,189.68605389018308,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",3.5645008901830693,3.5645008901830693,1.9151467590553948
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2020,2020Q4,2020-12-31,2017Q1,2019Q4,203.360042,209.70330465876543,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",6.34326265876544,6.34326265876544,3.119227649827806
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,145.634693,134.043161,same quarter previous year,-11.591532,11.591532,7.95932051712431
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,176.60603,118.702943,same quarter previous year,-57.903087,57.903087,32.7865854863506
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,207.932789,186.121553,same quarter previous year,-21.811236000000008,21.811236000000008,10.489560643559686
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,223.092395,203.360042,same quarter previous year,-19.732353000000018,19.732353000000018,8.844924095238664
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,145.634693,147.67159027800295,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",2.0368972780029537,2.0368972780029537,1.3986346495082416
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,176.60603,133.439873354492,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",-43.16615664550801,43.16615664550801,24.442062734498933
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,207.932789,195.98674021756958,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",-11.946048782430438,11.946048782430438,5.7451491127887655
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,223.092395,211.97955698438852,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",-11.112838015611487,11.112838015611487,4.98127155594501
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q1,2021-03-31,2017Q1,2020Q4,145.634693,151.0203062843982,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",5.385613284398204,5.385613284398204,3.698029070860337
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q2,2021-06-30,2017Q1,2020Q4,176.60603,159.954429606459,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-16.651600393541003,16.651600393541003,9.428670353747833
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q3,2021-09-30,2017Q1,2020Q4,207.932789,192.68484309421225,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-15.247945905787759,15.247945905787759,7.333112771255984
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2021,2021Q4,2021-12-31,2017Q1,2020Q4,223.092395,213.87554122929552,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",-9.216853770704489,9.216853770704489,4.131406528090968
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,145.634693,same quarter previous year,6.783224999999987,6.783224999999987,4.885238231690851
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,176.60603,same quarter previous year,54.716476,54.716476,44.89020937758128
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,207.932789,same quarter previous year,72.48470800000001,72.48470800000001,53.51475448367557
seasonal_naive,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,143.149598,223.092395,same quarter previous year,79.94279700000001,79.94279700000001,55.84563150502178
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,162.4397460593155,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",23.588278059315485,23.588278059315485,16.98813732334143
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,191.06610996539436,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",69.17655596539436,69.17655596539436,56.75347369422187
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,220.02098534362008,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",84.57290434362008,84.57290434362008,62.4393521999179
sarimax,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q4,2022-12-31,2017Q1,2021Q4,143.149598,234.03279239052856,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 4)}",90.88319439052856,90.88319439052856,63.488263788577704
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q1,2022-03-31,2017Q1,2021Q4,138.851468,167.2683884160702,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",28.416920416070184,28.416920416070184,20.46569678044036
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q2,2022-06-30,2017Q1,2021Q4,121.889554,183.40199116094433,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",61.51243716094433,61.51243716094433,50.4657168250401
prophet,S_газовое_моторное_топливо,Газовое моторное топливо,G10,Топливо и транспортные товары,2022,2022Q3,2022-09-30,2017Q1,2021Q4,135.448081,212.82587799621953,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",77.37779699621953,77.37779699621953,57.1272744692629
