model,product_code,product_name,group_code,group_name,cv_years,observations_count,MAE,RMSE,MAPE_%,WAPE_%
sarimax,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,10.59413599287556,14.293875956104962,7.962420836646575,8.084395523545554
seasonal_naive,S_свежие_фрукты,Свежие фрукты,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,13.795767500000006,16.279785195696988,10.84570431553261,10.527563653692788
lightgbm_global,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,19.598488243978245,22.98135855335332,15.988134798869622,13.617267273601438
prophet,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,19.616901131217094,24.202558823078075,14.543982796019309,13.630060770920657
sarimax,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,22.848814341881404,25.753157251856933,16.01593180878029,15.8756332582895
seasonal_naive,S_свежий_картофель,Свежий картофель,G04,"Овощи, фрукты и картофель",2023; 2024; 2025,12,23.968701,27.922645136981554,16.757501970035904,16.65374408754833
prophet,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,18.912739278827953,23.83328522631535,14.891449397794009,13.543820552233582
lightgbm_global,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,20.626687856037197,24.159428071830284,15.430242830707789,14.771216098867301
sarimax,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,21.570949920238135,25.38266882226461,15.686931737151255,15.447422531117748
seasonal_naive,S_стиральные_машины,Стиральные машины,G07,"Товары для дома, гигиены и бытовая химия",2023; 2024; 2025,12,23.380161250000004,29.14916366926694,17.65953122059454,16.743037789706626
sarimax,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,3.8907253114683407,5.0394057963020025,4.02961789224747,3.9008246244375018
prophet,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,3.918503382665173,4.697639805150254,3.7531666870897857,3.9286748002966365
seasonal_naive,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,4.493735250000001,5.305317700639843,4.667271341063217,4.505399820242606
lightgbm_global,S_чай,Чай,G05,"Бакалея, масло, сахар, чай, соль",2023; 2024; 2025,12,5.5442144168857,6.358294004450491,5.883239328748533,5.558605758366225
sarimax,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,7.998177354295181,10.99989746174444,6.1396048468505375,6.247476441178952
prophet,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,8.402677493918405,10.400768760316565,6.575483923141341,6.563436563192574
seasonal_naive,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,9.234656166666664,12.376024361419185,7.040369558748417,7.213305517994728
lightgbm_global,S_сыры,сыры,G02,Молочная продукция и яйца,2023; 2024; 2025,12,10.072926129486827,12.751810415200133,7.818348330250561,7.868088678217415
